"","note","id","sample.size","sex","category","subcategory","unit","group_name","build","author","year","population","trait","pmid","ontology","rawfile","filename","outfile","nsnp","delimiter","header","mr","chr_col","snp_col","pos_col","ea_col","oa_col","ncontrol_col","beta_col","se_col","pval_col"
"1","name=Complement C4b; chr=6; start=31969570; end=32111862; entrez=720|721; uniprot=P0C0L4|P0C0L5","prot-c-2182_54_1",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","C4b",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2182-54_1_one.out.merged.h.tsv.gz","prot-c-2182_54_1.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2182_54_1.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"2","name=Coagulation Factor XI; chr=4; start=186265945; end=186288806; entrez=2160; uniprot=P03951","prot-c-2190_55_1",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Coagulation Factor XI",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2190-55_1_one.out.merged.h.tsv.gz","prot-c-2190_55_1.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2190_55_1.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"3","name=C-C motif chemokine 27; chr=9; start=34661880; end=34664048; entrez=10850; uniprot=Q9Y4X3","prot-c-2192_63_10",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","CTACK",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2192-63_10_one.out.merged.h.tsv.gz","prot-c-2192_63_10.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2192_63_10.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"4","name=Endostatin; chr=21; start=45405137; end=45513720; entrez=80781; uniprot=P39060","prot-c-2201_17_6",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","Endostatin",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2201-17_6_one.out.merged.h.tsv.gz","prot-c-2201_17_6.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2201_17_6.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"5","name=Metalloproteinase inhibitor 1; chr=X; start=47582313; end=47586789; entrez=7076; uniprot=P01033","prot-c-2211_9_6",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","TIMP-1",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2211-9_6_one.out.merged.h.tsv.gz","prot-c-2211_9_6.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2211_9_6.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"6","name=Tissue-type plasminogen activator; chr=8; start=42175233; end=42207724; entrez=5327; uniprot=P00750","prot-c-2212_69_1",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","tPA",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2212-69_1_one.out.merged.h.tsv.gz","prot-c-2212_69_1.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2212_69_1.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"7","name=Prokineticin-1; chr=1; start=110451200; end=110457354; entrez=84432; uniprot=P58294","prot-c-2247_20_11",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","EG-VEGF",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2247-20_11_one.out.merged.h.tsv.gz","prot-c-2247_20_11.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2247_20_11.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"8","name=Metalloproteinase inhibitor 2; chr=17; start=78852977; end=78925387; entrez=7077; uniprot=P16035","prot-c-2278_61_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","TIMP-2",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2278-61_4_one.out.merged.h.tsv.gz","prot-c-2278_61_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2278_61_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"9","name=Transforming growth factor beta-1; chr=19; start=41301587; end=41353911; entrez=7040; uniprot=P01137","prot-c-2333_72_1",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","TGF-b1",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2333-72_1_one.out.merged.h.tsv.gz","prot-c-2333_72_1.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2333_72_1.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"10","name=Vascular endothelial growth factor receptor 3; chr=5; start=180601506; end=180649624; entrez=2324; uniprot=P35916","prot-c-2358_19_2",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","VEGF sR3",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2358-19_2_one.out.merged.h.tsv.gz","prot-c-2358_19_2.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2358_19_2.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
"11","name=Complement C5; chr=9; start=120952335; end=121050276; entrez=727; uniprot=P01031","prot-c-2381_52_4",997,"Males and females","Continuous",NA,"SD","public","HG19/GRCh37","Suhre K",2019,"European","C5",28240269,"EFO_0007937","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/dl/2381-52_4_one.out.merged.h.tsv.gz","prot-c-2381_52_4.txt.gz","/mnt/storage/private/mrcieu/research/scratch/IGD/data/dev/prot-c-import/ready/prot-c-2381_52_4.txt.gz",501428,"space",TRUE,1,0,1,2,3,4,5,6,7,8
